internal_name,parameter,description
APFLRTEN,Alpha_Fuel_Rate_Enable,[APFLRTEN] Bit C Word 0. Enables alpha fuel rate sub-algo for Alpha_Base determination
APGVAP,Alpha_Governor,[APGVAP] result of On Governor
APLMES,FSS_RPM_Derate,[APLMES] RPM derate supplied by application group.
APLSAP,Alpha_LSG,[APLSAP] result of LSG algorithm
APLSEN,Alpha_LSG_Enable,[APLSEN] Bit A Word 0. Enables alpha lsg sub-algo for Alpha_Base determination
APLSTMTR,LSG_Alpha_Timeout,[APLSTMTR] Time that must expire without LSG commanding fuel before alpha is one
APLSTR,Alpha_LSG_Timer,[APLSTR] Trace the time since fueling state has left LSG state
APL_ADJ,Group_Application_Adjustable_Parameters,[APL_ADJ] Application Adjustable Parameters
APOFAAPR,Alpha_Lock_Off_Air_Pressure,[APOFAAPR] Air pressure after hysterisis to unlock alpha.
APONAAPR,Alpha_Lock_On_Air_Pressure,[APONAAPR] Air Pressure Below Which Alpha Is Ramped To 1
APONGVEN,Alpha_On_Governor_Enable,[APONGVEN] Bit D Word 0. Enables alpha on governor sub-algo for Alpha_Base determination
APPL_ID,Application_Identifier,[APPL_ID] Descriptor of the project or fuel system.
APRM01RT,Alpha_Ramp_Rate_1,[APRM01RT] Rate at which alpha increases while alpha is below the alpha threshold
APRM02RT,Alpha_Ramp_Rate_2,[APRM02RT] Rate at which alpha increases while alpha is >= the alpha threshold
APRMBKTD,Alpha_Ramp_Threshold,[APRMBKTD] Value of alpha at which the ramp rate transition takes place
APUOAP,User_Override_Alpha,[APUOAP] Value of alpha desired by engineering applications
APUOAPEN,Alpha_User_Override_Enable,[APUOAPEN] Bit 0 Word 1. EEPROM indicator set by engr applications to control alpha
AREN,Cruise_Control_AR_Enable,[AREN] BIT 11 OF 0-15. CRUISE CONTROL AUTO RESUME ENABLE/DISABLE PARAMETER
AS01CF,ASG_Coefficient_1,[AS01CF] ASG throttle mode compensation filter coef. 1 calibration
AS02CF,ASG_Coefficient_2,[AS02CF] ASG throttle mode compensation filter coef. 2 calibration
AS03CF,ASG_Coefficient_3,[AS03CF] ASG throttle mode compensation filter coef. 3 calibration
ASALDPXA,ASG_Alt_Droop_Reference_Axis,[ASALDPXA] ASG alternate droop table input axis
ASALDPYA,ASG_Alt_Droop_Axis,[ASALDPYA] ASG alternate droop table output axis (f(reference speed))
ASANENF,AS_ANC_Enable_Flag,[ASANENF] Application specific ANC enable/disable flag(Set to FALSE to disable)
ASANODFG,AS_ANC_Override,[ASANODFG] Application specific ANC Override flag(1 = engage ANC)
ASAP01CF,ASG_Coefficient_1_As,[ASAP01CF] ASG application specific compensation filter coef. 1
ASAP01DP,ASG_Droop_Gain_1_As,[ASAP01DP] ASG application specific droop gain 1
ASAP01DV,ASG_Derivative_Gain_1_As,[ASAP01DV] ASG application specific derivative gain 1
ASAP01IT,ASG_Integral_Gain_1_As,[ASAP01IT] ASG application specific integral gain 1
ASAP01PP,ASG_Proportional_Gain_1_As,[ASAP01PP] ASG application specific proportional gain 1
ASAP02CF,ASG_Coefficient_2_As,[ASAP02CF] ASG application specific compensation filter coef. 2
ASAP02DP,ASG_Droop_Gain_2_As,[ASAP02DP] ASG application specific droop gain 2
ASAP02DV,ASG_Derivative_Gain_2_As,[ASAP02DV] ASG application specific derivative gain 2
ASAP02IT,ASG_Integral_Gain_2_As,[ASAP02IT] ASG application specific integral gain 2
ASAP02PP,ASG_Proportional_Gain_2_As,[ASAP02PP] ASG application specific proportional gain 2
ASAP03CF,ASG_Coefficient_3_As,[ASAP03CF] ASG application specific compensation filter coef. 3
ASAPFBES,ASG_As_Feedback_Speed,[ASAPFBES] Application specific feedback variable for ASG
ASAPFTCF,ASG_Filter_Coef_As,[ASAPFTCF] ASG application specific reference filter coefficient
ASAPHILM,ASG_High_Fuel_Limit_As,[ASAPHILM] ASG application specific fueling high limit
ASAPLOLM,ASG_Lower_Fuel_Limit_As,[ASAPLOLM] ASG application specific fueling lower limit
ASAPODMD,ASG_As_Override_Mode,[ASAPODMD] ASG application specific reference override mode
ASAPRF,ASG_As_Reference_RPM,[ASAPRF] ASG application specific reference speed
ASAPRS,ASG_Reset_As,[ASAPRS] ASG application specific reset
ASAPSTX1,ASG_State_X1_As,[ASAPSTX1] ASG application specific state X1 reset value
ASAPSTX2,ASG_State_X2_As,[ASAPSTX2] ASG application specific state X2 reset value
ASAPSTX3,ASG_State_X3_As,[ASAPSTX3] ASG application specific state X3 reset value
ASAPSTX4,ASG_State_X4_As,[ASAPSTX4] ASG application specific state X4 reset value
ASAPSTX5,ASG_State_X5_As,[ASAPSTX5] ASG application specific state X5 reset value
ASAPSTX6,ASG_State_X6_As,[ASAPSTX6] ASG application specific state X6 reset value
ASCLNLXA,ASG_Coolant_Fuel_Bkpt,[ASCLNLXA] ASG - Coolant temp adjust breakpoint table for no load fuel
ASCLNLYA,ASG_Coolant_Fuel_Adjust_Table,[ASCLNLYA] ASG - Coolant temp based fuel adjustment to no load fuel
ASCNHILM,ASG_Fueling_Limit_High_Cal,[ASCNHILM] ASG fueling high limit calibration for thottle mode
ASCNLOLM,ASG_Fueling_Limit_Lo_Cal,[ASCNLOLM] ASG fueling lower limit calibration for thottle mode
ASDP01GN,ASG_Droop_Gain1,[ASDP01GN] Offset used to adjust droop in the gain adjust calculation of the ASG
ASDP02GN,ASG_Droop_Gain2,[ASDP02GN] Slope multiplier used to adjust droop in the gain adjust calculation of the ASG
ASDP21GN,ASG_Droop_Gain1_2,[ASDP21GN] Alternate offset used to adjust droop in gain adjust calc. for ASG
ASDP22GN,ASG_Droop_Gain2_2,[ASDP22GN] Alternate slope multiplier used to adjust droop in gain adjust calc.
ASDP31GN,ASG_Droop_Gain1_3,[ASDP31GN] Alternate offset used to adjust droop in gain adjust calc. for ASG
ASDP32GN,ASG_Droop_Gain2_3,[ASDP32GN] Alternate slope multiplier used to adjust droop in gain adjust calc.
ASDPER,ASG_Droop_Compensated_Error,[ASDPER] ASG Droop Compensated Error
ASDPFG,ASG_Droop_Flag,[ASDPFG] ASG droop selection flag; used to select droop source
ASDPFGTN,ASG_Droop_Flag_Trim,[ASDPFGTN] Trim for ASG droop selection flag; select droop source
ASDPGN01,ASG_Droop_Gain_1,[ASDPGN01] ASG droop gain 1
ASDPGN02,ASG_Droop_Gain_2,[ASDPGN02] ASG droop gain 2
ASDPMN,ASG_Droop_Minimum_Throttle,[ASDPMN] Tool ASG Droop Minimum Throttle Percent adjustable parameter
ASDPMN02,ASG_Droop_Minimum_Throttle_2,[ASDPMN02] Tool ASG Droop Min Throttle % for Switched Droop 2 adjustable parameter
ASDPMN03,ASG_Droop_Minimum_Throttle_3,[ASDPMN03] Tool ASG Droop Min Throttle % for Switched Droop 3 adjustable parameter
ASDPMX,ASG_Droop_Maximum_Throttle,[ASDPMX] Tool ASG Droop Maximum Throttle Percent adjustable parameter
ASDPMX02,ASG_Droop_Maximum_Throttle_2,[ASDPMX02] Tool ASG Droop Max Throttle % for Switched Droop 2 adjustable parameter
ASDPMX03,ASG_Droop_Maximum_Throttle_3,[ASDPMX03] Tool ASG Droop Max Throttle % for Switched Droop 3 adjustable parameter
ASDPTBXA,ASG_Droop_Reference_Axis,[ASDPTBXA] ASG droop table input axis (f(reference speed))
ASDPTBYA,ASG_Droop_Axis,[ASDPTBYA] ASG droop table output axis (f(reference speed)
ASDV,ASG_Derivative_Term,[ASDV] ASG derivative term
ASDV01GN,ASG_Derivative_Gain_1,[ASDV01GN] ASG derivative gain 1 calibration
ASDV02GN,ASG_Derivative_Gain_2,[ASDV02GN] ASG Derivative gain 2 calibration
ASDVDELM,ASG_Derivative_Dead_Band_Limit,[ASDVDELM] ASG derivative dead band limit
ASDVFTCF,ASG_Derivative_Filter_Coefficient,[ASDVFTCF] ASG derivative filter coefficient calibration
ASDVLM,ASG_Derivative_Limit,[ASDVLM] ASG derivative limit
ASERDC,ASG_Error_Difference,[ASERDC] ASG error difference
ASETRS,ASG_External_Reset,[ASETRS] ASG external reset flag
ASFBDC,ASG_Feedback_Difference,[ASFBDC] ASG feedback difference term
ASFL,ASG_Fueling,[ASFL] ASG FUELING
ASFLHILM,ASG_Fuel_Hi_Limit,[ASFLHILM] ASG fueling high limit
ASFLLOLM,ASG_Fuel_Low_Limit,[ASFLLOLM] ASG fueling lower limit
ASFTCF,ASG_Filter_Coefficient,[ASFTCF] ASG reference filter coefficient calibration
ASFTFBES,ASG_Filtered_Feedback_Speed,[ASFTFBES] General feedback variable for the ASG
ASFTRF,ASG_Filtered_Reference,[ASFTRF] ASG filtered reference speed
ASGADJSZ,ASG_Adj_Size,[ASGADJSZ] Size of ASG adjustable parameters
ASIT01GN,ASG_Integral_Gain_1,[ASIT01GN] ASG integral gain 1 calibration
ASIT02GN,ASG_Integral_Gain_2,[ASIT02GN] ASG integral gain 2 calibration
ASJ100CF,ASG_Jcomm_Coefficient_1_00,[ASJ100CF] ASG compensation filter coef. 1 - Jcomm mode 00
ASJ100DV,ASG_Jcomm_Derivative_Gain_1_00,[ASJ100DV] ASG derivative gain 1 - Jcomm mode 00
ASJ100IT,ASG_Jcomm_Integral_Gain_1_00,[ASJ100IT] ASG integral gain 1 - Jcomm mode 00
ASJ100PP,ASG_Jcomm_Proportional_Gain_1_00,[ASJ100PP] ASG proportional gain 1 - Jcomm mode 00
ASJ101CF,ASG_Jcomm_Coefficient_1_01,[ASJ101CF] ASG compensation filter coef. 1 - Jcomm mode 01
ASJ101DV,ASG_Jcomm_Derivative_Gain_1_01,[ASJ101DV] ASG derivative gain 1 - Jcomm mode 01
ASJ101IT,ASG_Jcomm_Integral_Gain_1_01,[ASJ101IT] ASG integral gain 1 - Jcomm mode 01
ASJ101PP,ASG_Jcomm_Proportional_Gain_1_01,[ASJ101PP] ASG proportional gain 1 - Jcomm mode 01
ASJ110CF,ASG_Jcomm_Coefficient_1_10,[ASJ110CF] ASG compensation filter coef. 1 - Jcomm mode 10
ASJ110DV,ASG_Jcomm_Derivative_Gain_1_10,[ASJ110DV] ASG derivative gain 1 - Jcomm mode 10
ASJ110IT,ASG_Jcomm_Integral_Gain_1_10,[ASJ110IT] ASG integral gain 1 - Jcomm mode 10
ASJ110PP,ASG_Jcomm_Proportional_Gain_1_10,[ASJ110PP] ASG proportional gain 1 - Jcomm mode 10
ASJ111CF,ASG_Jcomm_Coefficient_1_11,[ASJ111CF] ASG compensation filter coef. 1 - Jcomm mode 11
ASJ111DV,ASG_Jcomm_Derivative_Gain_1_11,[ASJ111DV] ASG derivative gain 1 - Jcomm mode 11
ASJ111IT,ASG_Jcomm_Integral_Gain_1_11,[ASJ111IT] ASG integral gain 1 - Jcomm mode 11
ASJ111PP,ASG_Jcomm_Proportional_Gain_1_11,[ASJ111PP] ASG proportional gain 1 - Jcomm mode 11
ASJ200CF,ASG_Jcomm_Coefficient_2_00,[ASJ200CF] ASG compensation filter coef. 2 - Jcomm mode 00
ASJ200DV,ASG_Jcomm_Derivative_Gain_2_00,[ASJ200DV] ASG derivative gain 2 - Jcomm mode 00
ASJ200IT,ASG_Jcomm_Integral_Gain_2_00,[ASJ200IT] ASG integral gain 2 - Jcomm mode 00
ASJ200PP,ASG_Jcomm_Proportional_Gain_2_00,[ASJ200PP] ASG proportional gain 2 - Jcomm mode 00
ASJ201CF,ASG_Jcomm_Coefficient_2_01,[ASJ201CF] ASG compensation filter coef. 2 - Jcomm mode 01
ASJ201DV,ASG_Jcomm_Derivative_Gain_2_01,[ASJ201DV] ASG derivative gain 2 - Jcomm mode 01
ASJ201IT,ASG_Jcomm_Integral_Gain_2_01,[ASJ201IT] ASG integral gain 2 - Jcomm mode 01
ASJ201PP,ASG_Jcomm_Proportional_Gain_2_01,[ASJ201PP] ASG proportional gain 2 - Jcomm mode 01
ASJ210CF,ASG_Jcomm_Coefficient_2_10,[ASJ210CF] ASG compensation filter coef. 2 - Jcomm mode 10
ASJ210DV,ASG_Jcomm_Derivative_Gain_2_10,[ASJ210DV] ASG derivative gain 2 - Jcomm mode 10
ASJ210IT,ASG_Jcomm_Integral_Gain_2_10,[ASJ210IT] ASG integral gain 2 - Jcomm mode 10
ASJ210PP,ASG_Jcomm_Proportional_Gain_2_10,[ASJ210PP] ASG proportional gain 2 - Jcomm mode 10
ASJ211CF,ASG_Jcomm_Coefficient_2_11,[ASJ211CF] ASG compensation filter coef. 2 - Jcomm mode 11
ASJ211DV,ASG_Jcomm_Derivative_Gain_2_11,[ASJ211DV] ASG derivative gain 2 - Jcomm mode 11
ASJ211IT,ASG_Jcomm_Integral_Gain_2_11,[ASJ211IT] ASG integral gain 2 - Jcomm mode 11
ASJ211PP,ASG_Jcomm_Proportional_Gain_2_11,[ASJ211PP] ASG proportional gain 2 - Jcomm mode 11
ASJ300CF,ASG_Jcomm_Coefficient_3_00,[ASJ300CF] ASG compensation filter coef. 3 - Jcomm mode 00
ASJ301CF,ASG_Jcomm_Coefficient_3_01,[ASJ301CF] ASG compensation filter coef. 3 - Jcomm mode 01
ASJ310CF,ASG_Jcomm_Coefficient_3_10,[ASJ310CF] ASG compensation filter coef. 3 - Jcomm mode 10
ASJ311CF,ASG_Jcomm_Coefficient_3_11,[ASJ311CF] ASG compensation filter coef. 3 - Jcomm mode 11
ASJCFLMN,ASG_Jcomm_Fuel_Min,[ASJCFLMN] ASG Jcomm fueling lower limit calibration
ASJCFLMX,ASG_Jcomm_Fuel_Max,[ASJCFLMX] ASG Jcomm fueling high limit calibration
ASJCFTCS,ASG_Jcomm_Filter_Constant,[ASJCFTCS] ASG Jcomm reference filter constant
ASMNRF,ASG_Minimum,[ASMNRF] ASG reference speed for 0% throttle input -should be less than LSGMNREF
ASMNRF02,ASG_Minimum_2,[ASMNRF02] Alternate ASG reference speed for 0% throttle input
ASMNRF03,ASG_Minimum_3,[ASMNRF03] Alternate ASG reference speed for 0% throttle input
ASMNRP,ASG_Min_RPM,[ASMNRP] ASG reference speed for 0% throttle input -should be less than LSGMNREF
ASMXFL,ASG_100_Fueling,"[ASMXFL] Fueling from 4D tables using ASG_Selected_Speed, 100% throttle, and alpha"
ASMXRF,ASG_Maximum,[ASMXRF] ASG reference speed for 100% throttle input -should be greater than HSGBRKRPM
ASMXRF02,ASG_Maximum_2,[ASMXRF02] Alternate ASG reference speed for 100% throttle input
ASMXRF03,ASG_Maximum_3,[ASMXRF03] Alternate ASG reference speed for 100% throttle input
ASMXRP,ASG_Max_RPM,[ASMXRP] ASG reference speed for 100% throttle input -should be greater than HSGBRKRPM
ASNLFL,ASG_No_Load_Fuel,[ASNLFL] Fuel required to overcome friction calculated using ASG reference
ASNLFLXA,ASG_Friction_Fuel_Bkpt,[ASNLFLXA] ASG No load Fuel breakpoint table
ASNLFLYA,ASG_Friction_Fuel_Table,[ASNLFLYA] ASG No load fuel based on selected (ASG ref) engine speed
ASPP01GN,ASG_Proportional_Gain_1,[ASPP01GN] ASG proportional gain 1 calibration
ASPP02GN,ASG_Proportional_Gain_2,[ASPP02GN] ASG proportional gain 2 calibration
ASQDAJ,ASG_QD_Adjustment,[ASQDAJ] ASG Quadratic Derivative Adjustment
ASQDDPER,ASG_QD_Droop_Compensated_Error,[ASQDDPER] QPID Adjusted ASG Droop Compensated Error-Derivative
ASQDEN,ASG_QD_Enable,[ASQDEN] Flag to enable/disable the ASG Quadratic Derivative scheme.
ASQIAJ,ASG_QI_Adjustment,[ASQIAJ] ASG Quadratic Integral Adjustment
ASQIDPER,ASG_QI_Droop_Compensated_Error,[ASQIDPER] QPID Adjusted ASG Droop Compensated Error-Integral
ASQIEN,ASG_QI_Enable,[ASQIEN] Flag to enable/disable the ASG Quadratic Integral scheme.
ASQPAJ,ASG_QP_Adjustment,[ASQPAJ] ASG Quadratic Proportional Adjustment
ASQPDPER,ASG_QP_Droop_Compensated_Error,[ASQPDPER] QPID Adjusted ASG Droop Compensated Error-Proportional
ASQPEN,ASG_QP_Enable,[ASQPEN] Flag to enable/disable the ASG Quadratic Proportional scheme.
ASRF,ASG_Selected_Speed,[ASRF] Selected input reference speed used as input to the ASG
ASRMTHFG,ASG_Rem_Throt_Droop_Flag,[ASRMTHFG] value assigned to ASDPFG when Remote throttle is controlling
ASRSST,ASG_Reset_State,[ASRSST] ASG reset flag
ASRSSTX1,ASG_Reset_State_X1,[ASRSSTX1] ASG reset state X1
ASRSSTX2,ASG_Reset_State_X2,[ASRSSTX2] ASG reset state X2
ASRSSTX3,ASG_Reset_State_X3,[ASRSSTX3] ASG reset state X3
ASRSSTX4,ASG_Reset_State_X4,[ASRSSTX4] ASG reset state X4
ASRSSTX5,ASG_Reset_State_X5,[ASRSSTX5] ASG reset state X5
ASRSSTX6,ASG_Reset_State_X6,[ASRSSTX6] ASG reset state X6
ASSDFUOF,ASG_Switch_Droop_Fueling_Offset,[ASSDFUOF] Offset added to NLFL and compared with FSFNFL for throttle gov. switch
ASSL01CF,ASG_Coefficient_1_Selected,[ASSL01CF] ASG selected compensation filter coef. 1
ASSL01DV,ASG_Derivative_Gain_1_Selected,[ASSL01DV] ASG selected derivative gain 1
ASSL01IT,ASG_Integral_Gain_1_Selected,[ASSL01IT] ASG selected integral gain 1
ASSL01PP,ASG_Proportional_Gain_1_Selected,[ASSL01PP] ASG selected proportional gain 1
ASSL02CF,ASG_Coefficient_2_Selected,[ASSL02CF] ASG selected compensation filter coef. 2
ASSL02DV,ASG_Derivative_Gain_2_Selected,[ASSL02DV] ASG selected derivative gain 2
ASSL02IT,ASG_Integral_Gain_2_Selected,[ASSL02IT] ASG selected integral gain 2
ASSL02PP,ASG_Proportional_Gain_2_Selected,[ASSL02PP] ASG selected proportional gain 2
ASSL03CF,ASG_Coefficient_3_Selected,[ASSL03CF] ASG selected compensation filter coef. 3
ASSLDP,ASG_Droop_Selected,[ASSLDP] ASG selected droop slope
ASSLFTCF,ASG_Filter_Coef_Selected,[ASSLFTCF] ASG selected reference filter coefficient
ASSTX1,ASG_State_X1,[ASSTX1] ASG state X1
ASSTX2,ASG_State_X2,[ASSTX2] ASG state X2
ASSTX4,ASG_State_X4,[ASSTX4] ASG state X4
ASSTX5,ASG_State_X5,[ASSTX5] ASG state X5
ASSTX6,ASG_State_X6,[ASSTX6] ASG state X6
ASTH01DP,ASG_Throttle_Droop_1,[ASTH01DP] ASG throttle droop gain 1
ASTH02DP,ASG_Throttle_Droop_2,[ASTH02DP] ASG throttle droop gain 2
ASTHPFRL,ASG_Throttle_Prefilter_Rate_Limit,[ASTHPFRL] ASG throttle ref rate limit for prefilter coef. calculation
ASTHPFXA,ASG_Throttle_Prefilter_Coeff_X,[ASTHPFXA] ASG throttle prefilter coef. calculation table (x-axis)
ASTHPFYA,ASG_Throttle_Prefilter_Coeff_Y,[ASTHPFYA] ASG throttle prefilter coef. calculation table (y-axis)
ASTHRFES,ASG_Throttle_Reference_RPM,[ASTHRFES] All Speed Governor reference speed based upon throttle position
ASTL01MN,Tool_ASG_Droop_Gain1_Minimum,[ASTL01MN] Minimum for ASG_Droop_Gain1
ASTL01MX,Tool_ASG_Droop_Gain1_Maximum,[ASTL01MX] Maximum for ASG_Droop_Gain1
ASTL02MN,Tool_ASG_Droop_Gain2_Minimum,[ASTL02MN] Minimum for ASG_Droop_Gain2
ASTL02MX,Tool_ASG_Droop_Gain2_Maximum,[ASTL02MX] Maximum for ASG_Droop_Gain2
ASTLMNMN,Tool_ASG_Minimum_Speed_Minimum,[ASTLMNMN] Minimum allowed speed for ASG_Minimum_Speed
ASTLMNMX,Tool_ASG_Minimum_Speed_Maximum,[ASTLMNMX] Maximum allowed speed for ASG_Minimum_Speed
ASTLMXMN,Tool_ASG_Maximum_Speed_Minimum,[ASTLMXMN] Minimum allowed speed for ASG_Maximum_Speed
ASTLMXMX,Tool_ASG_Maximum_Speed_Maximum,[ASTLMXMX] Maximum allowed speed for ASG_Maximum_Speed
AS_GOV,Group_AS_GOV,[AS_GOV] ALL SPEED GOVERNOR
AT01EN,AT_AUTO_Anti_Theft_Enable,[AT01EN] Bit 11 of 15. Enables the anti theft at_auto module
ATAAPRDF,Altitude_Derate_Default,[ATAAPRDF] Default fueling to be used by altitude derate if ambient air pressure fault is
ATAAPRYA,Altitude_Derate_Ambient_Air_Press_Axis,[ATAAPRYA] Ambient air pressure axis values (4 values) for Altitude_Derate_Fueling_Table
ATAGEN,Altitude_Derate_Enable,[ATAGEN] Bit 5 of 0-15. Calibration trim used to enable the altitude derate algorithm
ATAP,Altitude_Derate_Alpha,[ATAP] Value of alpha to be output if the Altitude derate is limiting fuel
ATAPMNTM,Altitude_Derate_Alpha_Timeout,[ATAPMNTM] Time alpha is latched to ADALF after Altitude Derate stops fuel limiting
ATAULOEN,Anti_Theft_Auto_Lock_Enable,[ATAULOEN] Bit 12 of 15. Enables the automatic locking functionality
ATENESTR,Altitude_Derate_RPM_Derate_Limit,[ATENESTR] Engine speed above which derating will occur when ambient air pressure fault is
ATESXA,Altitude_Derate_Engine_Speed_Axis,[ATESXA] Engine RPM axis values (21 values) for Altitude_Derate_Fueling_Table
ATFLIH,Anti_Theft_Fuel_Inhibit,[ATFLIH] Fuel shutoff for final fueling
ATFLLM,Altitude_Derate_Fueling,[ATFLLM] Fueling limit as determined though Altitude Derate table look-up
ATFLLMZA,Altitude_Derate_Fueling_Table,[ATFLLMZA] Table of fuel limit values used by Altitude Derate (21x4 values)
ATGRP00,Group_Anti_Theft,[ATGRP00] Anti-Theft Parameters
ATGRP07,Group_Anti_Theft_7,[ATGRP07] Anti-Theft Interlock Parameters
ATRNGNEN,AT_Random_Number_Generator_Enable,[ATRNGNEN] enable for generation of random numbers (for VAT)
ATWGPR,Altitude_Derate_WG_Pressure,[ATWGPR] Turbo overspeed protection derate identical ambient pressure
AUTO_ADJ,Automotive_Adjustable_Parameters,[AUTO_ADJ] Adjustable parameters of the automotive interface items
AUX_DRVR,Group_AUX_DRVR,[AUX_DRVR] AUX. DRIVER OUTPUT GROUP
BSSNPZ,Absolute_Boost_Pressure_Sensor_Present,[BSSNPZ] indicates that Boost Press Sensor is Absolute Pressure Sensor
CAM_SYNC,Group_CAM_SYNC,[CAM_SYNC] CAM SYNCHRONIZATION GROUP
CC_AR,Group_CC_AR,[CC_AR] CRUISE CONTROL / AUTO RESUME
CC_EB1,Group_CC_EB_1,[CC_EB1] Cruise Control / Engine Brake
CC_EB2,Group_CC_EB_2,[CC_EB2] Cruise Control / Engine Brake
CC_RSG02,Group_CC_RSG_2,[CC_RSG02] CRUISE CONTROL / ROAD SPEED GOVERNOR
CC_RSG04,Group_CC_RSG_4,[CC_RSG04] CRUISE CONTROL / ROAD SPEED GOVERNOR
CC_RSG05,Group_CC_RSG_5,[CC_RSG05] CRUISE CONTROL / ROAD SPEED GOVERNOR
CK4DTA,Crank_4D_Timing,[CK4DTA] 4D TIMING OUTPUT BY CRANK
CKAJIIES,Crank_Adjusted_Initial_RPM,[CKAJIIES] CRANK ADJUSTED INITIAL RPM
CKAJIIFL,Crank_Adjusted_Initial_Fuel,[CKAJIIFL] CRANK ADJUSTED INITIAL FUEL
CKCDIMES,Crank_Lo_Manifold_Temp_RPM,[CKCDIMES] CRANK LOW INTAKE MANIFOLD TEMPERATURE RPM
CKCDIMTA,Crank_Lo_Manifold_Temp_Timing,[CKCDIMTA] CRANK LOW INTAKE MANIFOLD TEMPERATURE TVC
CKCDIMTP,Crank_Lo_Manifold_Temp,[CKCDIMTP] CRANK LOW INTAKE MANIFOLD TEMPERATURE
CKCNEXES,Crank_Exit_RPM,[CKCNEXES] Engine speed at which the algorithm stops commanding fuel
CKCNEXTM,Crank_Exit_Time,[CKCNEXTM] CRANK EXIT TIME
CKCNJSTM,Crank_Jumpstart_Time,[CKCNJSTM] CRANK JUMPSTART TIME
CKEXES,Crank_Exit_Speed,[CKEXES] Exit RPM for crank routine
CKEXESOF,Crank_Exited_Initial_RPM_Offset,[CKEXESOF] CRANK EXITED INITIAL RPM OFFSET
CKEXESSW,Crank_Exit_Speed_Switch,[CKEXESSW] CRANK EXIT SPEED SWITCH 1 = Use Calibration/0=Use LSG Rference
CKEXFLAJ,Crank_Exit_Fuel_Adjustment,[CKEXFLAJ] CRANK EXIT FUEL ADJUSTMENT
CKEXFLOF,Crank_Exited_Initial_Fueling_Offset,[CKEXFLOF] CRANK EXITED INITIAL FUELING OFFSET
